threshold,precision,recall,f1,accuracy
0.0,0.22,1.0,0.36,0.22
0.06,0.22,1.0,0.36,0.22
0.11,0.22,1.0,0.36,0.22
0.17,0.22,1.0,0.36,0.22
0.22,0.22,1.0,0.36,0.22
0.28,0.22,1.0,0.36,0.22
0.33,0.22,1.0,0.36,0.22
0.39,0.22,1.0,0.36,0.22
0.44,0.22,1.0,0.36,0.22
0.5,0.22,0.99,0.37,0.25
0.56,0.25,0.87,0.39,0.39
0.61,0.34,0.49,0.4,0.68
0.67,0.5,0.18,0.26,0.78
0.72,0.69,0.05,0.1,0.79
0.78,0.0,0.0,0.0,0.78
0.83,0.0,0.0,0.0,0.78
0.89,0.0,0.0,0.0,0.78
0.94,0.0,0.0,0.0,0.78
1.0,0.0,0.0,0.0,0.78
